client_id,outflow_intensity,competitor_share,competitor_intensity,net_flow_ratio,recent_outflow_share,contributions_stopped,perf_spread_excess,fee_rate,fee_excess,tenure_years,sold_heavily,portfolio_value,age,churned,severity
C-00027,0.1053,0.0,0.0,0.0211,0.1429,0,-0.0069,0.011,0.0018,0.5,1,66500,47,0,0.083
C-00028,0.0594,0.0,0.0,-0.0031,0.0789,0,0.0043,0.01045,0.00125,11.8,0,320000,62,0,0.068
C-00029,0.087,0.375,0.0326,0.0174,0.125,0,-0.0042,0.011,0.0018,7.3,0,46000,33,0,0.017
C-00030,0.0373,0.0,0.0,-0.0373,0.0,1,0.051,0.01083,0.00163,13.9,1,268000,63,0,0.023
C-00031,0.0615,0.0,0.0,0.1046,0.75,0,0.005,0.011,0.0018,0.7,0,65000,35,0,0.036
C-00032,0.2879,0.8421,0.2424,-0.2061,0.2895,0,0.0413,0.011,0.0018,2.2,0,66000,56,1,0.58
C-00033,0.1698,0.0,0.0,-0.1698,0.7778,1,-0.0115,0.011,0.0018,5.4,0,79500,57,0,0.027
C-00034,0.1304,0.0,0.0,-0.097,0.3183,0,-0.0125,0.00813,-0.00107,11.6,0,1614000,42,0,0.082
C-00035,0.1531,0.0,0.0,-0.1163,0.2667,0,-0.0048,0.011,0.0018,8.3,0,196000,65,0,0.0
C-00036,0.0875,0.0,0.0,-0.0875,0.5769,1,-0.0067,0.011,0.0018,7.5,0,148500,60,0,0.008
C-00037,0.1266,0.0,0.0,-0.0476,0.1,0,-0.007,0.011,0.0018,5.9,0,197500,57,0,0.027
C-00038,0.1357,0.0,0.0,-0.1169,0.2469,0,0.0076,0.00738,-0.00182,6.4,1,2998500,44,0,0.027
C-00039,0.128,0.0,0.0,-0.0773,0.3301,0,-0.0106,0.01005,0.00085,4.2,0,402500,36,0,0.024
C-00040,0.0769,0.0,0.0,-0.0769,0.625,1,0.0395,0.011,0.0018,5.8,0,156000,33,0,0.063
C-00041,0.0762,0.0,0.0,-0.0663,0.0,0,0.0351,0.00744,-0.00176,1.3,1,2802500,54,0,0.0
C-00042,0.0993,0.4643,0.0461,0.0113,0.5714,0,0.0037,0.01072,0.00152,0.5,1,282000,29,0,0.06
C-00043,0.2632,0.8,0.2105,-0.2632,0.88,1,0.0519,0.011,0.0018,9.2,0,47500,70,0,0.072
C-00044,0.1196,0.0,0.0,-0.1196,0.0,1,0.0365,0.011,0.0018,8.6,0,92000,58,0,0.039
C-00045,0.4662,0.8627,0.4022,-0.4662,0.9098,1,0.0533,0.01079,0.00159,6.8,0,273500,68,1,0.58
C-00046,0.1207,0.0,0.0,-0.0278,0.1132,0,0.0183,0.011,0.0018,1.7,0,219500,57,0,0.079
C-00047,0.2775,0.3537,0.0981,-0.2085,0.3537,0,0.0053,0.01062,0.00142,1.8,1,295500,43,1,0.362
C-00048,0.1708,0.0,0.0,-0.1288,0.6838,0,-0.0013,0.01032,0.00112,4.8,0,342500,74,0,0.022
C-00049,0.1123,0.0,0.0,-0.11,0.3174,0,0.0383,0.00751,-0.00169,1.8,1,2609500,72,0,0.0
C-00050,0.0735,0.0,0.0,-0.0057,0.0,0,0.0034,0.00968,0.00048,4.0,0,530500,59,0,0.002
C-00051,0.0862,0.0,0.0,-0.0237,0.1887,0,-0.0153,0.01053,0.00133,6.0,0,307500,61,1,0.206
C-00052,0.0834,0.0,0.0,-0.0675,0.516,0,-0.0097,0.00883,-0.00037,0.8,0,1126500,40,0,0.032
C-00053,0.1762,0.2295,0.0404,-0.1623,0.3836,0,-0.0137,0.00922,2e-05,5.9,1,865500,60,0,0.005
C-00054,0.1486,0.4127,0.0613,-0.1486,0.1905,1,0.0386,0.011,0.0018,0.8,0,212000,48,0,0.079
C-00055,0.0574,0.0,0.0,-0.0574,0.4257,1,-0.0077,0.00921,1e-05,1.9,1,879500,52,0,0.004
C-00056,0.2587,0.2134,0.0552,-0.2322,0.5305,0,0.0114,0.01047,0.00127,0.3,0,317000,68,0,0.013
C-00057,0.0293,0.0,0.0,0.2197,1.0,0,-0.0133,0.011,0.0018,10.2,0,188000,49,0,0.029
C-00058,0.1667,0.0,0.0,-0.1667,0.6831,1,-0.0031,0.00837,-0.00083,1.8,0,1400500,35,0,0.033
C-00059,0.0287,0.0,0.0,0.1056,0.8,0,0.0039,0.01029,0.00109,7.4,0,348500,45,0,0.007
C-00060,0.1695,0.3816,0.0647,-0.1695,0.4737,1,0.0254,0.00989,0.00069,1.0,1,448500,47,1,0.521
C-00061,0.0705,0.0,0.0,-0.0441,0.375,0,-0.0031,0.011,0.0018,0.6,0,227000,69,0,0.064
C-00062,0.1789,0.6741,0.1206,-0.1365,0.6741,0,0.0407,0.00882,-0.00038,5.3,0,1132000,52,0,0.009
C-00063,0.1432,0.0,0.0,-0.1432,0.2222,1,0.0142,0.01016,0.00096,6.7,0,377000,70,0,0.01
C-00064,0.0617,0.0,0.0,-0.0149,0.4737,0,0.0062,0.011,0.0018,4.2,0,154000,29,0,0.024
C-00065,0.102,0.0,0.0,-0.102,0.2264,1,0.0059,0.0097,0.0005,2.8,1,519500,35,0,0.082
C-00066,0.0673,0.0,0.0,-0.0673,0.2222,1,0.0488,0.00807,-0.00113,0.6,1,1671500,69,0,0.027
C-00067,0.1067,0.5,0.0533,0.1813,0.0,0,-0.0199,0.011,0.0018,2.6,0,75000,44,0,0.076
C-00068,0.0615,0.0,0.0,-0.0171,0.1075,0,-0.005,0.00933,0.00013,1.4,0,756500,39,0,0.02
C-00069,0.2091,0.2727,0.057,-0.1817,0.5818,0,-0.0002,0.011,0.0018,7.8,1,131500,66,0,0.012
C-00070,0.0653,0.0,0.0,0.0131,0.2857,0,0.0151,0.011,0.0018,0.3,0,214500,71,0,0.032
C-00071,0.1118,0.0,0.0,-0.0755,0.0,0,0.0063,0.01039,0.00119,9.5,1,331000,45,0,0.116
C-00072,0.1058,0.0,0.0,0.5635,0.4091,0,0.0068,0.011,0.0018,1.1,0,104000,41,0,0.022
C-00073,0.1042,0.0,0.0,-0.1042,0.4122,1,0.0013,0.00835,-0.00085,4.3,0,1421000,33,0,0.061
C-00074,0.1489,0.5,0.0745,-0.0979,0.5,0,0.001,0.011,0.0018,15.8,0,47000,75,0,0.017
C-00075,0.0373,0.0,0.0,-0.028,0.1379,0,-0.0089,0.01011,0.00091,13.0,1,389000,75,0,0.08
C-00076,0.1329,0.0,0.0,-0.1329,0.375,1,0.0129,0.011,0.0018,4.1,0,150500,65,1,0.559
C-00077,0.1232,0.0,0.0,-0.0942,0.5948,0,0.0083,0.00951,0.00031,9.6,0,621000,65,0,0.06
C-00078,0.273,0.4382,0.1196,-0.273,0.5169,1,0.0454,0.011,0.0018,10.4,0,163000,70,0,0.065
C-00079,0.0465,0.0,0.0,-0.0279,0.5,0,-0.0097,0.011,0.0018,0.3,0,129000,73,0,0.018
C-00080,0.0702,0.0,0.0,0.0018,0.0,0,0.009,0.00842,-0.00078,0.3,1,1367000,43,0,0.02
C-00081,0.0897,0.0,0.0,-0.002,0.0,0,0.0013,0.011,0.0018,12,0,150500,34,0,0.026
C-00082,0.0596,0.0,0.0,0.0,0.0,0,0.0171,0.011,0.0018,0.3,0,201500,33,0,0.067
C-00083,0.0753,0.0,0.0,-0.0753,0.2857,1,0.0083,0.011,0.0018,0.6,0,46500,71,0,0.014
C-00084,0.2607,0.3818,0.0995,-0.2607,0.4545,1,0.0437,0.011,0.0018,11.0,0,105500,37,1,0.474
C-00085,0.1833,0.6444,0.1181,-0.1833,0.6444,1,-0.0062,0.011,0.0018,0.8,1,245500,69,0,0.033
C-00086,0.1273,0.0,0.0,-0.1136,0.0,0,0.0141,0.00992,0.00072,5.1,0,440000,65,0,0.001
C-00087,0.0953,0.0,0.0,-0.0489,0.4493,0,0.0083,0.01023,0.00103,3.1,1,362000,34,0,0.055
C-00088,0.0969,0.0,0.0,-0.0969,0.5094,1,0.032,0.01079,0.00159,7.1,1,273500,42,0,0.065
C-00089,0.1073,0.0,0.0,-0.0531,0.6316,0,0.005,0.011,0.0018,22.2,0,88500,57,0,0.08
C-00090,0.0486,0.0,0.0,0.1091,0.5882,0,0.0066,0.011,0.0018,5.8,1,175000,42,0,0.0
C-00091,0.0748,0.0,0.0,-0.0075,0.4375,0,-0.001,0.011,0.0018,5.1,0,107000,51,0,0.017
C-00092,0.1093,0.0,0.0,-0.0801,0.7222,0,0.0084,0.00958,0.00038,4.0,0,576500,36,0,0.072
C-00093,0.09,0.0,0.0,-0.0856,0.0,0,-0.0096,0.00927,7e-05,7.8,0,811000,35,0,0.013
C-00094,0.199,0.0,0.0,-0.0677,0.1,0,0.0011,0.011,0.0018,4.0,1,100500,32,0,0.079
C-00095,0.3646,0.8,0.2917,-0.3646,0.9143,1,0.0419,0.011,0.0018,3.5,0,48000,31,1,0.8
C-00096,0.0519,0.0,0.0,-0.003,0.0,0,-0.0005,0.01081,0.00161,5.8,0,270000,38,0,0.06
C-00097,0.176,0.0,0.0,-0.1612,0.5944,0,0.0239,0.00927,7e-05,0.8,1,812500,32,0,0.081
C-00098,0.0149,0.0,0.0,0.0291,0.3667,0,0.0449,0.0091,-0.0001,6.4,0,1009500,62,0,0.001
C-00099,0.3333,0.7551,0.2517,-0.3333,0.1633,1,0.049,0.011,0.0018,4.1,0,73500,37,1,0.52
C-00100,0.2682,0.5857,0.1571,-0.2682,0.5857,1,0.054,0.011,0.0018,11.5,0,130500,42,0,0.049
C-00101,0.1402,0.2609,0.0366,-0.0378,0.4348,0,0.005,0.011,0.0018,0.3,0,82000,32,0,0.002
C-00102,0.0471,0.0,0.0,0.0306,0.0,0,0.0018,0.011,0.0018,3.0,1,170000,47,0,0.005
C-00103,0.0806,0.0,0.0,-0.0681,1.0,0,-0.0012,0.00666,-0.00254,25.3,0,4297000,51,0,0.026
C-00104,0.0995,0.0,0.0,-0.0483,0.0,0,0.0349,0.01072,0.00152,12.8,1,281500,65,0,0.027
C-00105,0.2054,0.0,0.0,-0.2054,0.1887,1,0.0089,0.011,0.0018,3.5,0,129000,56,0,0.033
C-00106,0.21,0.0,0.0,-0.21,0.3651,1,0.0083,0.01058,0.00138,4.6,1,300000,71,0,0.089
C-00107,0.1562,0.0,0.0,-0.1455,0.3496,0,-0.0146,0.00779,-0.00141,4.8,0,2033000,69,0,0.053
C-00108,0.099,0.0,0.0,-0.099,0.7079,1,0.0115,0.00815,-0.00105,9.1,1,1591000,73,0,0.046
C-00109,0.1176,0.0,0.0,0.1849,0.4286,0,0.0016,0.011,0.0018,4.2,0,59500,68,0,0.045
C-00110,0.1633,0.0,0.0,-0.102,0.5,0,0.0101,0.011,0.0018,11,0,98000,33,0,0.008
C-00111,0.0685,0.0,0.0,-0.0432,0.6,0,0.0108,0.00982,0.00062,13.5,0,474500,67,0,0.032
C-00112,0.2032,0.3281,0.0667,-0.2032,0.3125,1,0.0482,0.011,0.0018,0.8,0,157500,54,0,0.052
C-00113,0.0385,0.0,0.0,0.1462,0.1667,0,-0.0082,0.011,0.0018,6.8,0,78000,75,0,0.085
C-00114,0.1543,0.0,0.0,-0.0529,0.0,0,0.0393,0.011,0.0018,3.2,0,181500,48,1,0.079
C-00115,0.1145,0.0,0.0,-0.1145,0.6,1,-0.0186,0.011,0.0018,6.0,0,65500,31,0,0.077
C-00116,0.0926,0.0,0.0,-0.0897,0.6189,0,-0.0013,0.00757,-0.00163,3.3,0,2450500,65,0,0.033
C-00117,0.0421,0.0,0.0,0.2863,0.0,0,0.0131,0.011,0.0018,3,0,47500,25,0,0.058
C-00118,0.2016,0.0,0.0,0.1147,0.3846,0,-0.0035,0.011,0.0018,4.1,0,64500,52,0,0.079
C-00119,0.2693,0.0,0.0,-0.2693,0.1915,1,-0.0165,0.011,0.0018,9,1,174500,31,0,0.026
C-00120,0.2565,0.2881,0.0739,-0.1626,0.9153,0,-0.0083,0.011,0.0018,3.8,0,115000,46,0,0.019
C-00121,0.0962,0.3421,0.0329,-0.0962,0.5789,1,0.0002,0.011,0.0018,5.4,1,197500,72,0,0.008
C-00122,0.0356,0.0,0.0,-0.0261,0.4074,0,-0.0008,0.00933,0.00013,12.3,0,757500,70,0,0.076
C-00123,0.072,0.0,0.0,0.0177,0.2885,0,-0.007,0.01023,0.00103,0.6,1,361000,44,0,0.066
C-00124,0.0511,0.0,0.0,-0.0084,0.6087,0,0.0165,0.011,0.0018,2.5,0,225000,59,0,0.084
C-00125,0.1161,0.0,0.0,-0.0232,0.6667,0,-0.0166,0.011,0.0018,3.2,0,168000,48,0,0.069
C-00126,0.2636,0.4904,0.1293,-0.2636,0.6309,1,0.0346,0.00941,0.00021,0.7,0,688500,46,0,0.096
C-00127,0.1181,0.0,0.0,-0.1181,0.5882,1,0.0046,0.011,0.0018,0.3,1,144000,66,0,0.058
C-00128,0.0422,0.0,0.0,-0.0322,0.0,0,0.0189,0.00936,0.00016,2.9,0,723000,66,0,0.007
C-00129,0.1932,0.0,0.0,-0.1728,0.7033,0,-0.0068,0.011,0.0018,0.3,0,235500,67,0,0.047
C-00130,0.0854,0.2418,0.0206,-0.0741,0.6703,0,-0.0013,0.00967,0.00047,4.8,0,533000,34,0,0.045
C-00131,0.07,0.0,0.0,-0.04,0.0,0,-0.0047,0.00893,-0.00027,0.3,0,1078500,41,0,0.061
C-00132,0.2836,0.5895,0.1672,-0.2119,0.7368,0,0.0486,0.011,0.0018,1.5,0,167500,67,1,0.641
C-00133,0.1217,0.4592,0.0559,-0.1066,0.8884,0,0.0335,0.00915,-5e-05,5.9,0,957500,52,0,0.017
C-00134,0.0521,0.0,0.0,0.1479,0.2,0,-0.0079,0.011,0.0018,2.9,1,48000,34,0,0.011
C-00135,0.0659,0.0,0.0,0.1714,0.5,0,-0.0155,0.011,0.0018,20.2,0,45500,66,0,0.0
C-00136,0.1299,0.3631,0.0472,-0.1229,0.0,0,0.0203,0.00941,0.00021,8.9,0,689000,73,0,0.04
C-00137,0.0611,0.0,0.0,-0.02,0.0,0,-0.0178,0.011,0.0018,0.9,1,204500,40,0,0.069
C-00138,0.0437,0.0,0.0,0.0192,0.2667,0,-0.0122,0.011,0.0018,16.8,0,171500,67,0,0.017
C-00139,0.1562,0.25,0.0391,-0.1562,0.65,1,0.0507,0.011,0.0018,2.7,0,64000,28,0,0.065
C-00140,0.2,0.3333,0.0667,-0.1657,0.2143,0,-0.0099,0.011,0.0018,2.7,0,105000,74,0,0.027
C-00141,0.0973,0.0,0.0,-0.0571,0.1328,0,-0.0136,0.00945,0.00025,7.3,0,658000,48,0,0.109
C-00142,0.0526,0.0,0.0,0.0774,0.0,0,-0.002,0.01043,0.00123,5.4,0,323000,37,0,0.041
C-00143,0.1339,0.0,0.0,-0.1155,0.2095,0,-0.0102,0.00817,-0.00103,13.2,0,1568500,60,0,0.068
C-00144,0.2147,0.5263,0.113,-0.0384,0.5263,0,-0.0099,0.011,0.0018,2.4,1,177000,62,1,0.485
C-00145,0.0758,0.0,0.0,-0.0354,0.1333,0,0.0048,0.0106,0.0014,1.4,0,297000,64,1,0.3
C-00146,0.1466,0.0,0.0,-0.1466,0.7023,1,-0.0099,0.00907,-0.00013,2.9,0,1019500,49,0,0.0
C-00147,0.2251,0.314,0.0707,-0.2251,0.2805,1,0.0332,0.00936,0.00016,22.9,0,728500,71,0,0.078
C-00148,0.1285,0.0,0.0,-0.1285,0.4839,1,0.0102,0.01023,0.00103,9.0,1,362000,65,0,0.055
C-00149,0.471,0.6979,0.3287,-0.471,0.4811,1,0.0547,0.00932,0.00012,15.8,1,759000,74,1,0.742
C-00150,0.2646,0.2752,0.0728,-0.2209,0.7339,0,0.0031,0.01002,0.00082,5.6,0,412000,74,0,0.004
C-00151,0.1813,0.0,0.0,-0.1669,0.6093,0,-0.0156,0.01,0.0008,6.2,1,416500,67,0,0.037
C-00152,0.1626,0.0,0.0,-0.1626,0.0,1,0.0409,0.00686,-0.00234,9.0,0,3838500,32,0,0.061
C-00153,0.0842,0.0,0.0,-0.0798,0.4565,0,-0.0131,0.00964,0.00044,4.9,0,546500,74,0,0.0
C-00154,0.2554,0.0,0.0,0.0967,0.5106,0,-0.0011,0.011,0.0018,3.5,1,92000,50,0,0.038
C-00155,0.2406,0.0,0.0,-0.0738,0.8889,0,-0.0274,0.011,0.0018,8,0,93500,30,0,0.103
C-00156,0.1585,0.4961,0.0786,-0.0287,0.6047,0,0.0277,0.01004,0.00084,12.1,0,407000,42,0,0.0
C-00157,0.1208,0.0,0.0,-0.1208,0.5556,1,-0.0053,0.011,0.0018,8.9,1,74500,58,0,0.071
C-00158,0.0929,0.0,0.0,-0.0647,0.0,0,-0.013,0.01014,0.00094,0.3,0,382000,35,0,0.065
C-00159,0.1187,0.0,0.0,-0.1187,0.05,1,0.0437,0.011,0.0018,4.7,0,168500,68,0,0.098
C-00160,0.1551,0.0,0.0,-0.1134,0.2727,0,0.0159,0.00986,0.00066,0.7,0,461000,46,1,0.223
C-00161,0.1746,0.3288,0.0574,-0.1172,0.4384,0,-0.01,0.011,0.0018,17.7,0,209000,48,0,0.002
C-00162,0.1221,0.0,0.0,0.0035,0.6667,0,0.0006,0.011,0.0018,2.7,0,86000,46,0,0.039
C-00163,0.1016,0.284,0.0289,-0.1016,0.5926,1,0.037,0.01007,0.00087,1.4,1,398500,35,1,0.416
C-00164,0.157,0.2386,0.0375,-0.1206,0.0,0,-0.0032,0.00962,0.00042,1.3,0,560500,42,0,0.014
C-00165,0.0445,0.0,0.0,-0.0445,0.208,1,0.0542,0.00753,-0.00167,17.5,0,2536500,61,0,0.08
C-00166,0.0446,0.0,0.0,0.0275,0.2692,0,0.0069,0.00957,0.00037,1.7,1,582500,26,0,0.089
C-00167,0.2036,0.2647,0.0539,-0.2036,0.1706,1,0.0361,0.01,0.0008,0.8,0,417500,48,0,0.012
C-00168,0.2529,0.3409,0.0862,-0.2529,0.5909,1,0.0183,0.011,0.0018,15.7,0,87000,72,0,0.059
C-00169,0.1469,0.0,0.0,-0.049,0.5556,0,-0.0027,0.011,0.0018,6.8,0,122500,30,0,0.059
C-00170,0.0461,0.0,0.0,0.0329,0.0,0,0.0108,0.011,0.0018,4.9,0,152000,46,0,0.029
C-00171,0.0591,0.0,0.0,0.0726,0.2143,0,-0.0051,0.011,0.0018,0.4,0,118500,38,0,0.056
C-00172,0.1909,0.2851,0.0544,-0.1909,0.2237,1,0.0032,0.0067,-0.0025,4.3,0,4180500,69,0,0.041
C-00173,0.1129,0.2857,0.0323,0.1426,0.3429,0,-0.0147,0.011,0.0018,1.9,0,155000,38,0,0.059
C-00174,0.1621,0.0,0.0,-0.1621,0.7037,1,0.037,0.00933,0.00013,4.9,0,749500,64,0,0.009
C-00175,0.0401,0.0,0.0,-0.0157,0.0,0,0.0115,0.00921,1e-05,5.6,0,885500,67,0,0.0
C-00176,0.1656,0.0,0.0,-0.1531,0.1811,0,0.0186,0.01013,0.00093,30,0,383500,70,0,0.045
C-00177,0.0947,0.0,0.0,-0.0947,0.437,1,0.039,0.00938,0.00018,0.3,0,712500,49,0,0.041
C-00178,0.1158,0.3636,0.0421,-0.1158,0.2727,1,0.0039,0.011,0.0018,2.7,1,47500,34,0,0.067
C-00179,0.1897,0.0,0.0,-0.1789,0.4343,0,-0.0045,0.0093,0.0001,4.0,0,783000,67,0,0.046
C-00180,0.1053,0.0,0.0,-0.0991,0.3644,0,0.0413,0.00773,-0.00147,0.5,0,2136500,45,0,0.043
C-00181,0.1754,0.6,0.1053,-0.1754,0.6333,1,0.0015,0.011,0.0018,2.6,1,85500,40,1,0.67
C-00182,0.0302,0.0,0.0,-0.0135,0.0,0,-0.0139,0.011,0.0018,5.1,0,215000,37,0,0.049
C-00183,0.1587,0.3253,0.0516,-0.122,0.3253,0,0.002,0.01089,0.00169,5.0,0,261500,60,1,0.185
C-00184,0.2686,0.1925,0.0517,-0.2585,0.3552,0,0.0536,0.00755,-0.00165,6.6,1,2494000,58,0,0.062
C-00185,0.0696,0.0,0.0,-0.0539,0.6118,0,0.0062,0.00952,0.00032,1.2,1,610500,64,0,0.038
C-00186,0.157,0.0,0.0,-0.1242,0.3261,0,-0.0157,0.011,0.0018,3.1,1,146500,68,0,0.057
C-00187,0.3498,0.7965,0.2786,-0.3498,0.0973,1,0.0501,0.011,0.0018,1.9,0,161500,60,1,0.84
C-00188,0.1273,0.0,0.0,-0.1273,0.2222,1,0.0038,0.01027,0.00107,0.3,0,353500,63,0,0.073
C-00189,0.0906,0.0,0.0,-0.0578,0.8302,0,0.0176,0.01064,0.00144,6.7,0,292500,67,0,0.068
C-00190,0.1924,0.2849,0.0548,-0.1895,0.246,0,0.0093,0.00573,-0.00347,2.0,0,9823500,59,1,0.574
C-00191,0.1493,0.6593,0.0985,-0.1148,0.6593,0,0.0075,0.00988,0.00068,8,1,452000,30,1,0.814
C-00192,0.2252,0.0,0.0,-0.2076,0.0,0,-0.007,0.0092,0.0,0.3,0,890500,34,0,0.096
C-00193,0.1047,0.0,0.0,-0.1047,0.4835,1,-0.0102,0.00649,-0.00271,1.6,0,4772500,53,0,0.011
C-00194,0.1451,0.0,0.0,-0.1008,0.0,0,0.0148,0.011,0.0018,7.0,0,189500,75,0,0.041
C-00195,0.1426,0.0,0.0,-0.1225,0.6209,0,-0.0023,0.00966,0.00046,2.2,1,536500,63,0,0.034
C-00196,0.0755,0.326,0.0246,-0.0755,0.0,1,0.0109,0.00825,-0.00095,9.5,0,1503500,41,0,0.035
C-00197,0.1321,0.4,0.0528,-0.0596,0.4,0,0.011,0.011,0.0018,1.6,0,132500,28,1,0.584
C-00198,0.224,0.3815,0.0855,-0.224,0.7005,1,0.0297,0.00771,-0.00149,2.2,0,2176500,56,1,0.05
C-00199,0.1068,0.0,0.0,-0.1041,0.8726,0,0.0,0.00748,-0.00172,2.2,0,2683500,67,0,0.068
C-00200,0.2528,0.4298,0.1086,-0.2528,0.7281,1,0.0149,0.011,0.0018,2.2,0,225500,62,0,0.025
C-00201,0.0581,0.0,0.0,-0.0201,0.0727,0,0.0133,0.00982,0.00062,1.9,0,473500,62,0,0.005
C-00202,0.0638,0.0,0.0,-0.0638,0.9167,1,0.0019,0.011,0.0018,1.4,0,94000,72,1,0.355
C-00203,0.1873,0.0,0.0,0.157,0.4043,0,-0.0074,0.011,0.0018,3.8,0,125500,42,0,0.048
C-00204,0.1018,0.0,0.0,-0.1018,1.0,1,0.0342,0.011,0.0018,2.6,0,137500,69,0,0.0
C-00205,0.2119,0.4219,0.0894,-0.1722,0.5625,0,0.0397,0.011,0.0018,4.2,0,151000,32,0,0.056
C-00206,0.3855,0.2708,0.1044,-0.3855,0.1875,1,0.0513,0.011,0.0018,2.9,1,124500,56,1,0.298
C-00207,0.2452,0.165,0.0405,-0.1595,0.7282,0,0.0125,0.011,0.0018,5.2,0,210000,33,0,0.034
C-00208,0.0539,0.0,0.0,-0.0463,0.0,0,-0.0055,0.00777,-0.00143,6.6,1,2060500,46,0,0.044
C-00209,0.047,0.0,0.0,0.0306,0.2857,0,-0.0012,0.00926,6e-05,5.2,1,820000,45,0,0.1
C-00210,0.0345,0.0,0.0,-0.0345,0.0,1,-0.0015,0.00948,0.00028,2.7,0,637500,36,0,0.061
C-00211,0.0455,0.0,0.0,0.1618,0.0,0,-0.0075,0.011,0.0018,2.1,0,110000,29,0,0.085
C-00212,0.086,0.0,0.0,0.1075,0.5,0,-0.0231,0.011,0.0018,8.5,0,93000,43,0,0.029
C-00213,0.1517,0.0,0.0,-0.1141,0.6387,0,-0.0067,0.00972,0.00052,8.6,0,511000,61,0,0.052
C-00214,0.0639,0.0,0.0,-0.0639,0.0,1,0.0077,0.00954,0.00034,4.6,1,602500,59,0,0.078
C-00215,0.1023,0.0,0.0,-0.0848,0.9167,0,-0.0071,0.01002,0.00082,2.3,0,410500,27,0,0.052
C-00216,0.0882,0.614,0.0542,-0.0548,0.0877,0,0.0017,0.01043,0.00123,9.8,0,323000,62,0,0.027
C-00217,0.0763,0.0,0.0,-0.0763,0.0,1,0.0049,0.01053,0.00133,8.6,0,308000,34,0,0.044
C-00218,0.1458,0.0,0.0,0.0292,0.3571,0,0.0154,0.011,0.0018,7.6,0,48000,32,0,0.036
